날짜,Spotify 스트림,변동
2025년 07월 27일,785334317,5315450
2025년 07월 28일,790383828,5049511
2025년 07월 29일,794915126,4531298
2025년 07월 30일,799895244,4980118
2025년 07월 31일,804711181,4815937
2025년 08월 01일,809716843,5005662
2025년 08월 02일,814650523,4933680
2025년 08월 03일,819770075,5119552
2025년 08월 04일,824676132,4906057
2025년 08월 05일,829036458,4360326
2025년 08월 06일,833984473,4948015
2025년 08월 07일,839018857,5034384
2025년 08월 08일,844131559,5112702
2025년 08월 09일,849271006,5139447
2025년 08월 10일,854475229,5204223
2025년 08월 11일,859203621,4728392
2025년 08월 12일,863538538,4334917
2025년 08월 13일,868245349,4706811
2025년 08월 14일,872934944,4689595
2025년 08월 15일,877572397,4637453
2025년 08월 16일,882590036,5017639
2025년 08월 17일,887318376,4728340
2025년 08월 18일,891946259,4627883
2025년 08월 19일,896159300,4213041
2025년 08월 20일,901068711,4909411
2025년 08월 21일,905678674,4609963
2025년 08월 22일,910843297,5164623
2025년 08월 23일,916189978,5346681
2025년 08월 24일,921258693,5068715
2025년 08월 25일,925900089,4641396
2025년 08월 26일,930094764,4194675
2025년 08월 27일,934690528,4595764
2025년 08월 28일,939411749,4721221
2025년 08월 29일,944116023,4704274
2025년 08월 30일,948882327,4766304
2025년 08월 31일,953976335,5094008
2025년 09월 01일,958664983,4688648
2025년 09월 02일,962828638,4163655
2025년 09월 03일,966663907,3835269
2025년 09월 04일,971205014,4541107
2025년 09월 05일,975803756,4598742
2025년 09월 06일,980749321,4945565
2025년 09월 07일,980749321,0
2025년 09월 08일,980749321,0
2025년 09월 09일,994660812,13911491
2025년 09월 10일,999455182,4794370
2025년 09월 11일,1004249552,4794370
2025년 09월 12일,1009043922,4794370
2025년 09월 13일,1013838292,4794370
2025년 09월 14일,1018632662,4794370
2025년 09월 15일,1023427032,4794370
2025년 09월 16일,1028221402,4794370
2025년 09월 17일,1033015772,4794370
2025년 09월 18일,1037478612,4462840
2025년 09월 19일,1042153983,4675371
2025년 09월 20일,1046831045,4677062
2025년 09월 21일,1051782775,4951730
2025년 09월 22일,1056487564,4704789
2025년 09월 23일,1060799309,4311745
2025년 09월 24일,1065266377,4467068
2025년 09월 25일,1069706782,4440405
2025년 09월 26일,1074447945,4741163
2025년 09월 27일,1079181213,4733268
2025년 09월 28일,1084250254,5069041
2025년 09월 29일,1089103832,4853578
2025년 09월 30일,1093308179,4204347
2025년 10월 01일,1097768710,4460531
2025년 10월 02일,1102201236,4432526
2025년 10월 03일,1106674660,4473424
2025년 10월 04일,1111339641,4664981
2025년 10월 05일,1116014788,4675147
2025년 10월 06일,1120524987,4510199
2025년 10월 07일,1124473470,3948483
2025년 10월 08일,1128770188,4296718
2025년 10월 09일,1132997586,4227398
2025년 10월 10일,1137436939,4439353
2025년 10월 11일,1141902431,4465492
2025년 10월 12일,1146565525,4663094
2025년 10월 13일,1151062684,4497159
2025년 10월 14일,1154929859,3867175
2025년 10월 15일,1159186096,4256237
2025년 10월 16일,1163425159,4239063
2025년 10월 17일,1167556304,4131145
2025년 10월 18일,1171823181,4266877
2025년 10월 19일,1176343816,4520635
2025년 10월 20일,1180666494,4322678
2025년 10월 21일,1184394095,3727601
2025년 10월 22일,1188492446,4098351
2025년 10월 23일,1192709334,4216888
2025년 10월 24일,1196915291,4205957
2025년 10월 25일,1201112884,4197593
2025년 10월 26일,1205534307,4421423
2025년 10월 27일,1209749868,4215561
2025년 10월 28일,1213477961,3728093
2025년 10월 29일,1217505452,4027491
2025년 10월 30일,1221613827,4108375
2025년 10월 31일,1225949233,4335406
2025년 11월 01일,1230126106,4176873
2025년 11월 02일,1234234587,4108481
2025년 11월 03일,1238343068,4108481
2025년 11월 04일,1241943588,3600520
2025년 11월 05일,1246121055,4177467
2025년 11월 06일,1250325014,4203959
2025년 11월 07일,1254390584,4065570
2025년 11월 08일,1258437416,4046832
2025년 11월 09일,1262532401,4094985
2025년 11월 10일,1266510228,3977827
2025년 11월 11일,1270033911,3523683
2025년 11월 12일,1273817864,3783953
2025년 11월 13일,1277627244,3809380
2025년 11월 14일,1281431865,3804621
2025년 11월 15일,1285331223,3899358
2025년 11월 16일,1289362482,4031259
2025년 11월 17일,1293379467,4016985
2025년 11월 18일,1296870637,3491170
2025년 11월 19일,1300439309,3568672
2025년 11월 20일,1304259044,3819735
2025년 11월 21일,1308276779,4017735
2025년 11월 22일,1312286126,4009347
2025년 11월 23일,1316441150,4155024
2025년 11월 24일,1320435355,3994205
2025년 11월 25일,1323926539,3491184
2025년 11월 26일,1327716642,3790103
2025년 11월 27일,1332028711,4312069
2025년 11월 28일,1336404382,4375671
2025년 11월 29일,1340427760,4023378
2025년 11월 30일,1344185951,3758191
2025년 12월 01일,1347799324,3613373
2025년 12월 02일,1351091148,3291824
2025년 12월 03일,1354655270,3564122
2025년 12월 04일,1358198694,3543424
2025년 12월 05일,1362183376,3984682
2025년 12월 06일,1366470373,4286997
2025년 12월 07일,1370737764,4267391
2025년 12월 08일,1374675582,3937818
2025년 12월 09일,1378229366,3553784
2025년 12월 10일,1382076306,3846940
2025년 12월 11일,1385785143,3708837
2025년 12월 12일,1389386102,3600959
2025년 12월 13일,1392938185,3552083
2025년 12월 14일,1396805380,3867195
2025년 12월 15일,1400413967,3608587
2025년 12월 16일,1403613469,3199502
2025년 12월 17일,1407087696,3474227
2025년 12월 18일,1410501570,3413874
2025년 12월 19일,1413893511,3391941
2025년 12월 20일,1417493794,3600283
2025년 12월 21일,1421095963,3602169
2025년 12월 22일,1424565913,3469950
2025년 12월 23일,1427643936,3078023
2025년 12월 24일,1431032139,3388203
2025년 12월 25일,1434470001,3437862
2025년 12월 26일,1437637711,3167710
2025년 12월 27일,1440009303,2371592
2025년 12월 28일,1443223235,3213932
2025년 12월 29일,1446437167,3213932
2025년 12월 30일,1449492584,3055417
2025년 12월 31일,1452964162,3471578
2026년 01월 01일,1456619001,3654839
2026년 01월 02일,1463367485,6748484
2026년 01월 03일,1466893660,3526175
2026년 01월 04일,1466893660,0
2026년 01월 05일,1470258957,3365297
2026년 01월 06일,1473316806,3057849
2026년 01월 07일,1476805524,3488718
2026년 01월 08일,1480164701,3359177
2026년 01월 09일,1483541210,3376509
2026년 01월 10일,1487141301,3600091
2026년 01월 11일,1490770848,3629547
2026년 01월 12일,1494262995,3492147
2026년 01월 13일,1497382800,3119805
2026년 01월 14일,1500724295,3341495
2026년 01월 15일,1504047521,3323226
2026년 01월 16일,1507511525,3464004
2026년 01월 17일,1511018513,3506988
2026년 01월 18일,1514506738,3488225
2026년 01월 19일,1517923424,3416686
2026년 01월 20일,1520937528,3014104
2026년 01월 21일,1524024568,3087040
2026년 01월 22일,1527250867,3226299
2026년 01월 23일,1530691757,3440890
2026년 01월 24일,1533965187,3273430
2026년 01월 25일,1537259252,3294065
2026년 01월 26일,1540695252,3436000
2026년 01월 27일,1543585408,2890156
